collection,local_source_path,relative_path,filename,extension,size_bytes,modified_date,sha256,title_inferred,author_publisher,category,language,likely_topic,rights_status,review_status,possible_kutumba_relevance,duplicate_group
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-   25.doc,Week-   25.doc,Week-   25.doc,.doc,59392,2026-06-30T02:00:23.436700+00:00,fa1d7f672c4059ea9512c1f456bd5df0dcde84156ef41bbb3153e75914eb0275,Week-   25,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-  35.doc,Week-  35.doc,Week-  35.doc,.doc,61952,2026-06-30T02:00:23.487836+00:00,83087667b4d0f5e63da4e3168165b8828c700e1521420be667f685fb56ee6eb4,Week-  35,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-  40.doc,Week-  40.doc,Week-  40.doc,.doc,60928,2026-06-30T02:00:23.501693+00:00,adf07f43aa999b25d16505cbac5cf4e2bb91d649cb4addc1b6417636e3667695,Week-  40,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-  45.doc,Week-  45.doc,Week-  45.doc,.doc,65536,2026-06-30T02:00:23.518190+00:00,da7d70083a07bc9d5b0bc2523f6d19319e337924de1f81adcc088303906c402e,Week-  45,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-  46.doc,Week-  46.doc,Week-  46.doc,.doc,67072,2026-06-30T02:00:23.534108+00:00,7aa6c4f0910491d6cdfc57223542185f30f50c295c61e9eaeadc82f4d68e5ab2,Week-  46,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-  47.doc,Week-  47.doc,Week-  47.doc,.doc,65024,2026-06-30T02:00:23.550485+00:00,442a8b88d9707c9ddd03dd19f33d17cc864ab21dcb8d81bfea36cc0029a50229,Week-  47,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week-  48.doc,Week-  48.doc,Week-  48.doc,.doc,63488,2026-06-30T02:00:23.566804+00:00,0f31fd6587cbbd7972e0bd07899105d4be4785ffbc8f9de1678fa5dbdc4afbea,Week-  48,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week- 14.doc,Week- 14.doc,Week- 14.doc,.doc,61440,2026-06-30T02:00:23.290654+00:00,730f6a642a6e74d0e3e1bf2c1d33099cf5e853f4be70665909b76df2501a327e,Week- 14,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week- 15.doc,Week- 15.doc,Week- 15.doc,.doc,69120,2026-06-30T02:00:23.688208+00:00,2b21a98d53121fec251cbd8653ec40fe6aec3621bc0a95211fb4ff5ad59e2efe,Week- 15,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week- 16.doc,Week- 16.doc,Week- 16.doc,.doc,61440,2026-06-30T02:00:23.704081+00:00,eeb871770281d4e94520eef68357e341e531123b8112e7314edb9fd69e5c4513,Week- 16,,document,en,,reference-only-index-only,not-reviewed,research-only,
JayapatakaSwamiBV,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\BV Material\Week- 17.doc,Week- 17.doc,Week- 17.doc,.doc,55296,2026-06-30T02:00:23.720284+00:00,802b0c0f60b242c1b03a8c4b3540c4317516a148919e8dad2e61966b03b31fe6,Week- 17,,document,en,,reference-only-index-only,not-reviewed,research-only,
