collection,local_source_path,relative_path,filename,extension,size_bytes,modified_date,sha256,title_inferred,author_publisher,category,language,likely_topic,rights_status,review_status,possible_kutumba_relevance,duplicate_group,source_root_id,portable_source_path
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Kids BV\Krishna Conscious School\Teaching Material-Jamnagar\Vaishnava Sampradayas\Nimbarkacharya\Craft - Mandala Art - Sudarshana Chakra.png,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Nimbarkacharya/Craft - Mandala Art - Sudarshana Chakra.png,Craft - Mandala Art - Sudarshana Chakra.png,.png,221257,2023-02-13T03:15:14.649328+00:00,5986d3e973551b8379027e268d442fdc8eadf4a90f87f45fdce0d7da924faee0,Craft - Mandala Art - Sudarshana Chakra,,other,en,,reference-only-index-only,not-reviewed,research-only,,legacy-bhaktivriksha,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Nimbarkacharya/Craft - Mandala Art - Sudarshana Chakra.png
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Kids BV\Krishna Conscious School\Teaching Material-Jamnagar\Vaishnava Sampradayas\Nimbarkacharya\Story - Nimbarkacharya.pdf,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Nimbarkacharya/Story - Nimbarkacharya.pdf,Story - Nimbarkacharya.pdf,.pdf,727267,2023-02-13T03:15:14.674437+00:00,10b2b03c4c60a487392c32d44ec2ae3c58f3787e0be95ed951d7d9f5d5a43877,Story - Nimbarkacharya,,pdf-reference,en,,reference-only-rights-review-required,not-reviewed,research-only,,legacy-bhaktivriksha,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Nimbarkacharya/Story - Nimbarkacharya.pdf
LegacyBhaktivriksha,"C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Kids BV\Krishna Conscious School\Teaching Material-Jamnagar\Vaishnava Sampradayas\Ramanujacharya\Coloring Page - Ramanujacarya - 4-6 years, 7-9 years, 10-14 years.png","Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Coloring Page - Ramanujacarya - 4-6 years, 7-9 years, 10-14 years.png","Coloring Page - Ramanujacarya - 4-6 years, 7-9 years, 10-14 years.png",.png,591752,2023-02-13T03:13:11.023963+00:00,43366c2fcbbbfe6803062ab78c0cc71bf63e341e2ea3640523cae25ca6b2832a,"Coloring Page - Ramanujacarya - 4-6 years, 7-9 years, 10-14 years",,other,en,,reference-only-index-only,not-reviewed,research-only,,legacy-bhaktivriksha,"Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Coloring Page - Ramanujacarya - 4-6 years, 7-9 years, 10-14 years.png"
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Kids BV\Krishna Conscious School\Teaching Material-Jamnagar\Vaishnava Sampradayas\Ramanujacharya\Complete The Face - Ramanujacharya.pdf,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Complete The Face - Ramanujacharya.pdf,Complete The Face - Ramanujacharya.pdf,.pdf,661593,2023-02-13T03:13:11.167946+00:00,39c299cea4add2019d864ee7390c934221feb92e3c91ff9d37e1c2dbc44ec258,Complete The Face - Ramanujacharya,,pdf-reference,en,,reference-only-rights-review-required,not-reviewed,research-only,,legacy-bhaktivriksha,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Complete The Face - Ramanujacharya.pdf
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Kids BV\Krishna Conscious School\Teaching Material-Jamnagar\Vaishnava Sampradayas\Ramanujacharya\Crossword - Ramanujacharya - 10-14 years - Ramanujacharya (Easy).pdf,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Crossword - Ramanujacharya - 10-14 years - Ramanujacharya (Easy).pdf,Crossword - Ramanujacharya - 10-14 years - Ramanujacharya (Easy).pdf,.pdf,619807,2023-02-13T03:13:11.227577+00:00,758820ea82816c5a0a869cc1fefaff25900fa67d62de604660f05772e8a0d03d,Crossword - Ramanujacharya - 10-14 years - Ramanujacharya (Easy),,pdf-reference,en,,reference-only-rights-review-required,not-reviewed,research-only,,legacy-bhaktivriksha,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Crossword - Ramanujacharya - 10-14 years - Ramanujacharya (Easy).pdf
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Kids BV\Krishna Conscious School\Teaching Material-Jamnagar\Vaishnava Sampradayas\Ramanujacharya\Crossword - Ramanujacharya - 10-14 years - Ramanujacharya.pdf,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Crossword - Ramanujacharya - 10-14 years - Ramanujacharya.pdf,Crossword - Ramanujacharya - 10-14 years - Ramanujacharya.pdf,.pdf,606835,2023-02-13T03:13:11.197006+00:00,5d8846b9e4336edf1a5c46421add20a41e86ae3b2621ed74d4e5537934efded8,Crossword - Ramanujacharya - 10-14 years - Ramanujacharya,,pdf-reference,en,,reference-only-rights-review-required,not-reviewed,research-only,,legacy-bhaktivriksha,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Crossword - Ramanujacharya - 10-14 years - Ramanujacharya.pdf
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Kids BV\Krishna Conscious School\Teaching Material-Jamnagar\Vaishnava Sampradayas\Ramanujacharya\Crossword - Ramanujacharya - 7-9 years - Ramanujacharya (Easy).pdf,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Crossword - Ramanujacharya - 7-9 years - Ramanujacharya (Easy).pdf,Crossword - Ramanujacharya - 7-9 years - Ramanujacharya (Easy).pdf,.pdf,627007,2023-02-13T03:13:11.135252+00:00,159a90a6c58fa55f3470c5d36b4c765bfc5580b6851cbd87870791efee7122b5,Crossword - Ramanujacharya - 7-9 years - Ramanujacharya (Easy),,pdf-reference,en,,reference-only-rights-review-required,not-reviewed,research-only,,legacy-bhaktivriksha,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Crossword - Ramanujacharya - 7-9 years - Ramanujacharya (Easy).pdf
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Kids BV\Krishna Conscious School\Teaching Material-Jamnagar\Vaishnava Sampradayas\Ramanujacharya\Crossword - Ramanujacharya - 7-9 years - Ramanujacharya.pdf,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Crossword - Ramanujacharya - 7-9 years - Ramanujacharya.pdf,Crossword - Ramanujacharya - 7-9 years - Ramanujacharya.pdf,.pdf,617771,2023-02-13T03:13:11.213098+00:00,a15aee8069c2f378704daca4238b5e6921fdac9f744f483d0f58e78bfda680db,Crossword - Ramanujacharya - 7-9 years - Ramanujacharya,,pdf-reference,en,,reference-only-rights-review-required,not-reviewed,research-only,,legacy-bhaktivriksha,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Crossword - Ramanujacharya - 7-9 years - Ramanujacharya.pdf
LegacyBhaktivriksha,"C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Kids BV\Krishna Conscious School\Teaching Material-Jamnagar\Vaishnava Sampradayas\Ramanujacharya\Information Sheets - Ramanujacharya - 7-9 years, 10-14 years - Ramanujacharya.pdf","Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Information Sheets - Ramanujacharya - 7-9 years, 10-14 years - Ramanujacharya.pdf","Information Sheets - Ramanujacharya - 7-9 years, 10-14 years - Ramanujacharya.pdf",.pdf,3339391,2023-02-13T03:13:11.272177+00:00,e345f03464a29d401a4b490c516d4eb6254639a87beaf4d333b83d3a6ba76dbf,"Information Sheets - Ramanujacharya - 7-9 years, 10-14 years - Ramanujacharya",,pdf-reference,en,,reference-only-rights-review-required,not-reviewed,research-only,,legacy-bhaktivriksha,"Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/Information Sheets - Ramanujacharya - 7-9 years, 10-14 years - Ramanujacharya.pdf"
LegacyBhaktivriksha,C:\Users\swap2\Downloads\Personal\5. Devotional\1. Baktivriksha\Kids BV\Krishna Conscious School\Teaching Material-Jamnagar\Vaishnava Sampradayas\Ramanujacharya\MCQ Quiz - Ramanujacharya - 10-14 years - Ramanujacharya.pdf,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/MCQ Quiz - Ramanujacharya - 10-14 years - Ramanujacharya.pdf,MCQ Quiz - Ramanujacharya - 10-14 years - Ramanujacharya.pdf,.pdf,629389,2023-02-13T03:13:11.182988+00:00,c2911d3f0e5d6c5481056ffd6fa9e125b0420c25c46bdd8372536e4ae5117ea1,MCQ Quiz - Ramanujacharya - 10-14 years - Ramanujacharya,,pdf-reference,en,,reference-only-rights-review-required,not-reviewed,research-only,,legacy-bhaktivriksha,Kids BV/Krishna Conscious School/Teaching Material-Jamnagar/Vaishnava Sampradayas/Ramanujacharya/MCQ Quiz - Ramanujacharya - 10-14 years - Ramanujacharya.pdf
