url,status,source_id
https://www.prabhupada.com/About/AAbout.html,catalogued,PSC-0010-www-prabhupada-com-about-aabout-html
https://www.prabhupada.com/Collections/Audio2.html,catalogued,PSC-0012-www-prabhupada-com-collections-audio2-html
https://www.prabhupada.com/Collections/Collections.html,catalogued,PSC-0011-www-prabhupada-com-collections-collections-html
https://www.prabhupada.com/Collections/Documents.html,catalogued,PSC-0013-www-prabhupada-com-collections-documents-html
https://www.prabhupada.com/Collections/Images.html,catalogued,PSC-0014-www-prabhupada-com-collections-images-html
https://www.prabhupada.com/Collections/Publications.html,catalogued,PSC-0015-www-prabhupada-com-collections-publications-html
https://www.prabhupada.com/Vedabase/VedaBase.html,catalogued,PSC-0016-www-prabhupada-com-vedabase-vedabase-html
https://www.purebhakti.com/,catalogued,PSC-0067-www-purebhakti-com
https://www.purebhakti.com/resources/ebooks-magazines/bhakti-books/english,catalogued,PSC-0069-www-purebhakti-com-resources-ebooks-magazines-bh
https://www.purebhakti.com/resources/ebooks-magazines/bhakti-books/english/21-jaiva-dharma,catalogued,PSC-0071-www-purebhakti-com-resources-ebooks-magazines-bh
https://www.purebhakti.com/resources/ebooks-magazines/books-for-e-readers,catalogued,PSC-0068-www-purebhakti-com-resources-ebooks-magazines-bo
https://www.purebhakti.com/resources/ebooks-magazines/books-for-e-readers/1376-jaiva-dharma,catalogued,PSC-0070-www-purebhakti-com-resources-ebooks-magazines-bo
https://www.youtube.com/channel/UC9-R06c2SwpjrvDdVZOQG8Q,catalogued,PSC-0043-www-youtube-com-channel-uc9-r06c2swpjrvddvzoqg8q
https://www.youtube.com/channel/UCBN88f0nRlRMg1CnffvinXw,catalogued,PSC-0040-www-youtube-com-channel-ucbn88f0nrlrmg1cnffvinxw
https://www.youtube.com/channel/UCZ8S3qwowiFztAQBRTawWfA,catalogued,PSC-0042-www-youtube-com-channel-ucz8s3qwowifztaqbrtawwfa
https://www.youtube.com/channel/UCrCoUc77FtaHOJJKmeUnsOQ,catalogued,PSC-0041-www-youtube-com-channel-ucrcouc77ftahojjkmeunsoq
