file,page,render_png,inspected,issues_found,fix_applied,status,review_iteration
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,20,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-020.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,21,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-021.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,22,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-022.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,23,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-023.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,24,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-024.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,25,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-025.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,26,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-026.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,27,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-027.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,28,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-028.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,29,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-029.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,30,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-030.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,31,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-031.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,32,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-032.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,33,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-033.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,34,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-034.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,35,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-035.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,36,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-036.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,37,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-037.png,yes,ok,none,PASS,2
